Timestamp,Favorite Restaurant,How often do you eat there?,Rating (1-5),What do you usually order?,Additional Comments
11/8/2025 10:23:15,Chipotle,Weekly,5,Chicken burrito bowl,"Love the guac!"
11/8/2025 10:23:28,McDonald's,2-3 times per week,4,Big Mac and fries,Fast and convenient
11/8/2025 10:23:41,Subway,Monthly,3,Turkey sub,Decent but not amazing
11/8/2025 10:23:55,Chipotle,Weekly,5,Steak burrito,Best burritos in town
11/8/2025 10:24:08,Taco Bell,2-3 times per week,4,Crunchwrap Supreme,Cheap and tasty
11/8/2025 10:24:22,Wendy's,Rarely,3,Baconator,Too expensive for what you get
11/8/2025 10:24:35,Panera Bread,Monthly,4,Broccoli cheddar soup,Good quality ingredients
11/8/2025 10:24:48,McDonald's,Daily,5,Sausage McMuffin,Perfect breakfast spot
11/8/2025 10:25:01,Chipotle,2-3 times per week,5,Veggie bowl,So many healthy options
11/8/2025 10:25:14,Subway,Weekly,4,Meatball marinara,Good value for money
11/8/2025 10:25:27,Taco Bell,Weekly,3,Tacos,Sometimes the quality varies
11/8/2025 10:25:40,McDonald's,2-3 times per week,4,Chicken nuggets,Classic comfort food
11/8/2025 10:25:53,Panera Bread,Rarely,4,Mac and cheese,Expensive but worth it occasionally
11/8/2025 10:26:06,Chipotle,Weekly,5,Carnitas bowl with extra salsa,Never disappoints
11/8/2025 10:26:19,Wendy's,Monthly,3,Dave's Double,Burgers are okay
11/8/2025 10:26:32,Taco Bell,2-3 times per week,5,Quesadilla,Great late night food
11/8/2025 10:26:45,Subway,Rarely,2,Veggie delight,Not much flavor
11/8/2025 10:26:58,McDonald's,Weekly,4,Quarter Pounder,Consistent quality
11/8/2025 10:27:11,Chipotle,2-3 times per week,5,Chicken quesadilla,Love their queso
11/8/2025 10:27:24,Panera Bread,Monthly,5,Chicken noodle soup,Best soup around
11/8/2025 10:27:37,Taco Bell,Weekly,4,Chalupa,Good variety on the menu
11/8/2025 10:27:50,Wendy's,Rarely,3,Frosty,Just okay
11/8/2025 10:28:03,McDonald's,2-3 times per week,5,McGriddles,Perfect for busy mornings
11/8/2025 10:28:16,Chipotle,Weekly,4,Barbacoa burrito,Usually good but sometimes salty
11/8/2025 10:28:29,Subway,Monthly,3,Italian BMT,Decent sandwich
